订单号,交易流水号,刷卡时间,交易金额(元),线路号,车辆编号,票价(元)
U17B00785201802261846212712,184622209497,2018/2/26 18:46:21,2.00,2,2001,2.00
U17B00494201802261846223148,184622212216,2018/2/26 18:46:22,2.00,805,2155,2.00
U17B00862201802261846226002,184623209707,2018/2/26 18:46:22,1.00,57,1127,1.00
U17802554201802261846255864,184623211630,2018/2/26 18:46:25,2.00,59,2082,2.00
U17A00429201802261846222648,184623207563,2018/2/26 18:46:22,2.00,36,1464,2.00
U17A01206201802261846267168,184624212217,2018/2/26 18:46:26,2.00,36,1463,2.00
U17B00127201802261846218980,184622211252,2018/2/26 18:46:21,2.00,38,2083,2.00
U17B00853201802261846222990,184623206192,2018/2/26 18:46:22,1.00,12,1116,1.00
U17C01055201802261846200783,184622211461,2018/2/26 18:46:20,2.00,33,3108,2.00
U17A00381201802261846248432,184625208896,2018/2/26 18:46:24,2.00,39,1445,2.00
U17B00465201802261846244762,184625209708,2018/2/26 18:46:24,2.00,51,2135,2.00
U17B00612201802261846242122,184624210469,2018/2/26 18:46:24,2.00,27,847,2.00
U17B00668201802261846239060,184624209498,2018/2/26 18:46:23,1.00,17,1155,1.00
U17B00724201802261846248271,184624211631,2018/2/26 18:46:24,2.00,44,2126,2.00
U17802554201802261846279822,184624211068,2018/2/26 18:46:27,2.00,59,2082,2.00
